customer_id,recency,frequency,total_spent,clv_predicted,churn_probability,overall_score
2,96,2,464.72,930.3459001515151,0.9814777250045171,18.0
3,70,4,1781.83,2677.282797619048,0.9752047889766468,31.0
6,363,1,1969.04,4229.199437698413,0.9879230429013711,31.0
7,302,3,323.16,579.0209511904759,0.9660380044223328,15.0
8,110,2,424.75,843.5502100000001,0.9908897829524587,23.0
9,100,2,1226.38,2475.3800746031748,0.9894629627323779,31.0
10,162,2,971.88,1955.1941026190482,0.9596093700487003,26.0
14,440,2,463.26,928.643585865801,0.9808596522148466,18.0
15,66,2,436.64,883.9353557142858,0.9446349938892898,15.0
16,66,2,637.29,1272.2163931746027,0.9587436524950032,21.0
17,304,2,2348.88,4688.862241593409,0.9478810137076107,39.0
19,73,3,2378.62,4750.2081603968245,0.9432231404958678,39.0
21,320,2,2114.19,4217.308208391055,0.970455379532588,34.0
22,106,4,2063.1,3096.5829739682545,0.9796133911271844,33.0
25,72,4,897.64,1335.3777227705627,0.9531962515907415,26.0
26,58,1,68.22,132.01145150793667,0.03588653671720131,36.0
28,109,4,1203.1,1801.8225833333327,0.9436316351685936,28.0
30,210,2,881.4,1769.9021138095236,0.9708499498792896,22.0
31,329,2,343.72,681.9841097191697,0.9889432621085936,14.0
33,63,1,697.65,1406.4280739682538,0.9466030428669856,19.0
38,116,4,1804.85,2707.8655569047633,0.9796133911271844,31.0
42,191,4,1537.79,2307.2572512698416,0.9969843300287816,34.0
44,143,2,576.13,1146.5871469841263,0.9762484723301665,24.0
45,202,3,288.31,540.0234718903317,0.9836305970149253,15.0
46,176,3,2191.9,4389.675529437231,0.9881493417407593,35.0
47,125,2,414.92,830.768277142857,0.9653568799203192,24.0
49,65,6,817.81,819.4079513492061,0.9518280552321379,27.0
50,256,2,932.95,1868.122012063492,0.9986942675159236,18.0
51,164,4,2044.05,3062.6977415079364,0.9807021965863661,36.0
53,116,3,2278.43,4549.480810382394,0.9843964813288599,38.0
55,188,1,182.48,361.96742292929304,0.9589745208585356,9.0
58,401,1,22.07,58.55333746031745,0.972506183745583,7.0
59,456,2,1511.77,3018.4001414935065,0.939868310298285,32.0
62,217,2,1363.8,2733.8981539682545,0.9932231404958678,22.0
64,268,3,2069.59,4148.453768571429,0.9681493417407593,36.0
65,86,3,1959.62,3925.2070558297287,0.9755163065083704,35.0
