customer_id,recency,frequency,total_spent,avg_order_value,spending_std,total_items,avg_items,age,gender_num,category_diversity,clv_current,clv_potential,is_at_risk,value_tier,clv_predicted,churn_probability,churn_predicted,clv_score,engagement_score,risk_score,overall_score,customer_tier
1,7,6,1575.32,262.55,199.09,12,2.0,55,0,5,1575.32,1575.3000000000002,0,1,1575.3949284299038,0.00703971119133574,0,17.0,79.0,1.0,60.0,Gold
2,96,2,464.72,232.36,108.92,3,1.5,60,1,3,464.72,929.44,1,0,930.3459001515151,0.9814777250045171,1,10.0,43.0,98.0,18.0,Bronze
3,70,4,1781.83,445.46,238.16,7,1.75,47,1,4,1781.83,2672.7599999999998,1,1,2677.282797619048,0.9752047889766468,1,30.0,61.0,98.0,31.0,Bronze
4,6,6,3948.7,658.12,338.57,13,2.17,53,0,5,3948.7,3948.7200000000003,0,2,3954.729844920636,0.03898520221922113,0,45.0,80.0,4.0,71.0,Gold
5,44,4,3453.65,863.41,607.95,9,2.25,52,1,4,3453.65,5180.46,0,2,5186.144162279942,0.014800397862889926,0,59.0,66.0,1.0,73.0,Gold
6,363,1,1969.04,1969.04,0.0,2,2.0,49,1,2,1969.04,3938.08,1,2,4229.199437698413,0.9879230429013711,1,48.0,38.0,99.0,31.0,Bronze
7,302,3,323.16,107.72,51.74,4,1.33,52,0,2,323.16,646.3199999999999,1,0,579.0209511904759,0.9660380044223328,1,6.0,40.0,97.0,15.0,Bronze
8,110,2,424.75,212.38,55.4,6,3.0,34,1,4,424.75,849.5,1,0,843.5502100000001,0.9908897829524587,1,9.0,65.0,99.0,23.0,Bronze
9,100,2,1226.38,613.19,176.68,6,3.0,43,1,4,1226.38,2452.76,1,1,2475.3800746031748,0.9894629627323779,1,28.0,65.0,99.0,31.0,Bronze
10,162,2,971.88,485.94,246.95,4,2.0,33,1,4,971.88,1943.76,1,1,1955.1941026190482,0.9596093700487003,1,22.0,54.0,96.0,26.0,Bronze
