customer_id,recency,frequency,total_spent,clv_predicted,churn_probability,overall_score
88,40,3,3749.95,7619.934732063493,0.029986007744847516,82.0
91,24,4,4379.19,6566.408810158729,0.001598360655737705,81.0
246,18,3,4638.54,8598.243229603167,0.06532810619251031,87.0
256,4,7,5799.98,4972.668842777778,0.0,80.0
357,22,3,3211.14,6458.600617222222,0.03073360712535663,80.0
374,38,3,4638.57,8734.97326396825,0.05750049652432969,90.0
538,10,4,5198.22,7821.858073095237,0.015630547903275175,88.0
577,19,3,3351.9,6720.21974047619,0.03350865468914645,84.0
579,22,3,3629.66,7266.339614365081,0.022760207966959857,82.0
804,43,3,3233.9,6486.038038174604,0.040127302857343346,81.0
832,5,5,5416.14,6579.960325873016,0.01730173016928503,85.0
858,1,3,3776.9,7736.627477777777,0.022489786860922307,84.0
889,40,4,5268.14,7840.97508642857,0.005630547903275176,88.0
975,54,4,3909.83,5831.502251349204,0.03968981481481482,80.0
981,12,4,4430.84,6655.917644444443,0.015630547903275175,82.0
994,32,3,3863.35,7797.542368492064,0.020438205204644778,88.0
