order_id,product_name,product_category,quantity,unit_price,total_price
1,Dumbbells,Sports,2,140.93,281.86
1,Business Book,Books,2,16.7,33.4
2,Dress,Clothing,2,96.22,192.44
2,Perfume,Beauty,1,20.66,20.66
2,Skincare Set,Beauty,2,28.16,56.32
3,Coffee Maker,Home & Garden,2,76.94,153.88
4,Skincare Set,Beauty,2,24.15,48.3
5,Lamp,Home & Garden,1,214.76,214.76
5,Plant Pot,Home & Garden,1,199.3,199.3
5,Plant Pot,Home & Garden,1,207.08,207.08
6,Business Book,Books,1,43.8,43.8
6,Jacket,Clothing,2,61.76,123.52
7,Fiction Novel,Books,2,11.33,22.66
7,Yoga Mat,Sports,2,143.36,286.72
8,Jacket,Clothing,2,77.67,155.34
9,Lamp,Home & Garden,2,147.44,294.88
9,Yoga Mat,Sports,2,244.04,488.08
10,Dress,Clothing,2,148.39,296.78
11,Plant Pot,Home & Garden,1,170.35,170.35
11,Fiction Novel,Books,2,37.78,75.56
11,Business Book,Books,1,14.82,14.82
12,Coffee Maker,Home & Garden,2,220.68,441.36
13,Running Shoes,Sports,1,182.06,182.06
13,Yoga Mat,Sports,2,64.69,129.38
13,Dumbbells,Sports,2,229.57,459.14
14,Lamp,Home & Garden,2,209.36,418.72
14,Skincare Set,Beauty,2,31.69,63.38
15,Dress,Clothing,1,62.6,62.6
16,Jeans,Clothing,2,192.09,384.18
16,Dress,Clothing,2,151.05,302.1
16,Plant Pot,Home & Garden,2,91.67,183.34
17,MacBook Pro,Electronics,1,867.14,867.14
17,Skincare Set,Beauty,2,68.61,137.22
18,MacBook Pro,Electronics,2,244.7,489.4
18,Jeans,Clothing,2,135.02,270.04
19,iPad,Electronics,2,712.59,1425.18
19,Fiction Novel,Books,2,29.12,58.24
20,Cookbook,Books,2,10.85,21.7
20,Running Shoes,Sports,2,73.95,147.9
20,iPhone 15,Electronics,1,925.7,925.7
21,Yoga Mat,Sports,1,45.19,45.19
22,Coffee Maker,Home & Garden,2,101.0,202.0
22,AirPods,Electronics,1,105.19,105.19
22,AirPods,Electronics,1,522.55,522.55
23,iPad,Electronics,2,710.71,1421.42
23,Lamp,Home & Garden,2,273.81,547.62
24,Business Book,Books,2,36.4,72.8
24,Skincare Set,Beauty,1,37.36,37.36
25,Perfume,Beauty,2,79.1,158.2
26,Skincare Set,Beauty,1,54.8,54.8
27,Makeup Kit,Beauty,1,65.64,65.64
27,Jeans,Clothing,1,39.96,39.96
27,Plant Pot,Home & Garden,1,67.6,67.6
28,Makeup Kit,Beauty,2,78.12,156.24
28,Business Book,Books,1,21.97,21.97
28,Perfume,Beauty,2,36.67,73.34
29,Business Book,Books,2,28.4,56.8
29,Fiction Novel,Books,1,34.84,34.84
29,AirPods,Electronics,2,323.24,646.48
30,Lamp,Home & Garden,1,217.24,217.24
30,Makeup Kit,Beauty,2,87.53,175.06
30,Perfume,Beauty,1,95.96,95.96
31,Plant Pot,Home & Garden,1,244.28,244.28
31,Cookbook,Books,2,17.06,34.12
31,Skincare Set,Beauty,1,32.92,32.92
32,AirPods,Electronics,1,660.56,660.56
33,Business Book,Books,2,22.87,45.74
33,Makeup Kit,Beauty,1,35.77,35.77
34,MacBook Pro,Electronics,2,71.2,142.4
35,Yoga Mat,Sports,1,63.91,63.91
35,Plant Pot,Home & Garden,2,45.82,91.64
36,T-Shirt,Clothing,2,123.03,246.06
37,Fiction Novel,Books,1,30.58,30.58
37,Lamp,Home & Garden,2,97.83,195.66
38,Lamp,Home & Garden,2,64.45,128.9
38,Dress,Clothing,2,35.14,70.28
39,MacBook Pro,Electronics,2,216.6,433.2
39,Running Shoes,Sports,2,135.93,271.86
39,Plant Pot,Home & Garden,1,284.48,284.48
40,Running Shoes,Sports,1,114.58,114.58
40,Makeup Kit,Beauty,1,55.64,55.64
40,iPad,Electronics,1,404.18,404.18
41,Running Shoes,Sports,2,171.45,342.9
42,Perfume,Beauty,1,78.75,78.75
42,Cookbook,Books,1,41.61,41.61
43,Yoga Mat,Sports,2,208.79,417.58
44,Fiction Novel,Books,1,19.06,19.06
45,T-Shirt,Clothing,1,152.65,152.65
46,Plant Pot,Home & Garden,1,54.66,54.66
46,Running Shoes,Sports,2,174.03,348.06
46,Running Shoes,Sports,1,81.92,81.92
47,Perfume,Beauty,1,91.99,91.99
47,AirPods,Electronics,1,995.37,995.37
47,Lamp,Home & Garden,2,141.16,282.32
48,Lamp,Home & Garden,1,34.44,34.44
48,AirPods,Electronics,1,944.76,944.76
49,Coffee Maker,Home & Garden,1,110.93,110.93
49,iPad,Electronics,2,795.68,1591.36
49,MacBook Pro,Electronics,2,250.85,501.7
50,AirPods,Electronics,1,896.54,896.54
51,iPhone 15,Electronics,2,909.45,1818.9
52,Business Book,Books,1,20.08,20.08
52,Jacket,Clothing,2,100.34,200.68
53,Lamp,Home & Garden,2,169.48,338.96
54,Jeans,Clothing,2,52.4,104.8
54,Dress,Clothing,1,130.18,130.18
55,iPhone 15,Electronics,2,89.57,179.14
56,Dress,Clothing,1,98.1,98.1
56,Makeup Kit,Beauty,2,76.19,152.38
57,Coffee Maker,Home & Garden,1,299.2,299.2
57,AirPods,Electronics,2,867.07,1734.14
57,Lamp,Home & Garden,2,32.34,64.68
58,Business Book,Books,1,16.17,16.17
59,AirPods,Electronics,1,924.7,924.7
59,Dress,Clothing,1,38.9,38.9
60,Coffee Maker,Home & Garden,2,183.04,366.08
60,Plant Pot,Home & Garden,2,188.41,376.82
60,Makeup Kit,Beauty,2,71.08,142.16
61,Makeup Kit,Beauty,1,72.88,72.88
62,Plant Pot,Home & Garden,2,70.78,141.56
63,Running Shoes,Sports,1,303.24,303.24
63,Jeans,Clothing,2,102.75,205.5
63,Coffee Maker,Home & Garden,1,192.19,192.19
64,Jeans,Clothing,2,26.59,53.18
65,Plant Pot,Home & Garden,1,226.67,226.67
65,Dress,Clothing,2,193.21,386.42
65,Running Shoes,Sports,2,305.05,610.1
66,AirPods,Electronics,2,397.71,795.42
66,T-Shirt,Clothing,1,188.35,188.35
66,Makeup Kit,Beauty,2,56.15,112.3
67,Dumbbells,Sports,1,251.19,251.19
67,Business Book,Books,1,10.73,10.73
68,Yoga Mat,Sports,1,26.88,26.88
69,Jacket,Clothing,1,161.23,161.23
69,Fiction Novel,Books,2,42.68,85.36
70,Makeup Kit,Beauty,1,40.99,40.99
70,Makeup Kit,Beauty,2,36.64,73.28
70,Yoga Mat,Sports,2,123.99,247.98
71,Business Book,Books,2,34.11,68.22
72,Coffee Maker,Home & Garden,1,201.89,201.89
72,Perfume,Beauty,2,56.49,112.98
73,Dumbbells,Sports,2,293.68,587.36
73,Fiction Novel,Books,2,21.28,42.56
74,Skincare Set,Beauty,2,31.75,63.5
75,Jacket,Clothing,1,169.02,169.02
76,Plant Pot,Home & Garden,2,166.76,333.52
77,Business Book,Books,2,28.17,56.34
77,iPad,Electronics,2,290.36,580.72
78,Dumbbells,Sports,1,164.12,164.12
78,Skincare Set,Beauty,2,26.61,53.22
79,Makeup Kit,Beauty,1,48.86,48.86
79,Coffee Maker,Home & Garden,1,298.11,298.11
79,iPhone 15,Electronics,2,69.33,138.66
80,AirPods,Electronics,2,270.21,540.42
81,Makeup Kit,Beauty,2,15.01,30.02
81,Dumbbells,Sports,2,155.48,310.96
82,AirPods,Electronics,1,150.85,150.85
82,Plant Pot,Home & Garden,2,47.74,95.48
83,Coffee Maker,Home & Garden,1,97.39,97.39
84,MacBook Pro,Electronics,1,196.6,196.6
84,Dress,Clothing,2,160.99,321.98
85,iPhone 15,Electronics,1,223.27,223.27
85,Dress,Clothing,2,49.12,98.24
85,iPad,Electronics,1,781.26,781.26
86,Business Book,Books,1,49.3,49.3
86,iPad,Electronics,1,648.35,648.35
87,Dumbbells,Sports,2,326.03,652.06
88,Makeup Kit,Beauty,1,25.98,25.98
88,Business Book,Books,2,21.07,42.14
89,MacBook Pro,Electronics,1,374.8,374.8
89,Dumbbells,Sports,2,304.91,609.82
90,AirPods,Electronics,1,520.24,520.24
90,Cookbook,Books,1,26.67,26.67
90,Skincare Set,Beauty,1,93.92,93.92
91,Dumbbells,Sports,2,190.13,380.26
91,Business Book,Books,1,31.03,31.03
91,Perfume,Beauty,1,20.35,20.35
92,Running Shoes,Sports,1,105.23,105.23
93,Business Book,Books,1,48.58,48.58
93,Coffee Maker,Home & Garden,1,95.03,95.03
94,AirPods,Electronics,2,477.97,955.94
94,T-Shirt,Clothing,2,188.41,376.82
94,Jeans,Clothing,1,143.18,143.18
95,Perfume,Beauty,1,70.64,70.64
95,Lamp,Home & Garden,1,281.95,281.95
96,Business Book,Books,2,24.29,48.58
97,Lamp,Home & Garden,1,188.8,188.8
97,Perfume,Beauty,1,51.12,51.12
97,AirPods,Electronics,2,559.22,1118.44
98,Perfume,Beauty,1,45.32,45.32
99,Running Shoes,Sports,2,178.16,356.32
99,Running Shoes,Sports,2,319.97,639.94
100,Cookbook,Books,1,45.57,45.57
100,Lamp,Home & Garden,2,73.44,146.88
100,Perfume,Beauty,2,42.85,85.7
101,iPhone 15,Electronics,1,436.98,436.98
101,Dumbbells,Sports,2,278.41,556.82
102,Perfume,Beauty,1,69.91,69.91
102,Makeup Kit,Beauty,2,50.38,100.76
102,Skincare Set,Beauty,2,46.96,93.92
103,Dumbbells,Sports,2,104.3,208.6
103,Jacket,Clothing,1,187.62,187.62
103,T-Shirt,Clothing,2,134.54,269.08
104,Cookbook,Books,2,17.59,35.18
104,Lamp,Home & Garden,2,136.8,273.6
105,AirPods,Electronics,2,214.94,429.88
106,Skincare Set,Beauty,2,87.29,174.58
106,T-Shirt,Clothing,2,172.75,345.5
107,Dress,Clothing,1,134.69,134.69
108,Yoga Mat,Sports,1,213.81,213.81
108,Skincare Set,Beauty,1,38.47,38.47
109,Business Book,Books,2,13.61,27.22
109,Yoga Mat,Sports,1,233.52,233.52
109,MacBook Pro,Electronics,1,261.89,261.89
110,Dumbbells,Sports,1,144.07,144.07
111,Coffee Maker,Home & Garden,1,148.51,148.51
111,Plant Pot,Home & Garden,2,23.63,47.26
111,Skincare Set,Beauty,1,27.82,27.82
112,MacBook Pro,Electronics,2,171.06,342.12
112,Jacket,Clothing,2,152.69,305.38
113,Running Shoes,Sports,2,260.31,520.62
113,iPhone 15,Electronics,1,90.8,90.8
113,Dumbbells,Sports,2,357.61,715.22
114,Cookbook,Books,1,36.75,36.75
115,Business Book,Books,1,18.76,18.76
115,iPhone 15,Electronics,2,153.35,306.7
115,Skincare Set,Beauty,2,89.6,179.2
116,Fiction Novel,Books,2,14.12,28.24
116,Jacket,Clothing,1,43.23,43.23
117,Cookbook,Books,2,21.16,42.32
118,Fiction Novel,Books,1,25.12,25.12
118,Makeup Kit,Beauty,2,95.09,190.18
119,Fiction Novel,Books,1,30.69,30.69
120,Plant Pot,Home & Garden,1,133.17,133.17
120,iPhone 15,Electronics,2,415.89,831.78
121,Jeans,Clothing,2,196.19,392.38
122,Lamp,Home & Garden,1,255.41,255.41
122,iPad,Electronics,2,289.58,579.16
123,Business Book,Books,1,33.36,33.36
123,Dress,Clothing,1,107.19,107.19
123,Running Shoes,Sports,1,48.89,48.89
124,Skincare Set,Beauty,1,87.22,87.22
124,Makeup Kit,Beauty,1,75.41,75.41
124,Running Shoes,Sports,1,62.85,62.85
125,Jeans,Clothing,2,146.58,293.16
125,Coffee Maker,Home & Garden,2,84.72,169.44
125,Makeup Kit,Beauty,1,68.34,68.34
126,Makeup Kit,Beauty,1,92.37,92.37
127,AirPods,Electronics,1,72.16,72.16
127,T-Shirt,Clothing,2,49.56,99.12
128,Yoga Mat,Sports,1,91.24,91.24
129,Jeans,Clothing,1,37.8,37.8
129,Perfume,Beauty,2,36.19,72.38
130,Perfume,Beauty,1,38.97,38.97
131,Coffee Maker,Home & Garden,1,151.07,151.07
131,Plant Pot,Home & Garden,1,162.7,162.7
132,Lamp,Home & Garden,2,271.14,542.28
133,Running Shoes,Sports,1,390.67,390.67
134,iPad,Electronics,1,270.28,270.28
134,Coffee Maker,Home & Garden,2,256.76,513.52
135,Fiction Novel,Books,1,12.63,12.63
135,Jacket,Clothing,2,162.08,324.16
135,Makeup Kit,Beauty,1,97.24,97.24
136,Jacket,Clothing,1,150.35,150.35
136,Business Book,Books,1,13.16,13.16
137,Coffee Maker,Home & Garden,2,235.52,471.04
137,Jeans,Clothing,1,191.67,191.67
138,Jeans,Clothing,1,102.72,102.72
139,AirPods,Electronics,1,344.09,344.09
139,iPad,Electronics,2,448.07,896.14
140,Business Book,Books,1,24.15,24.15
140,Jeans,Clothing,2,102.03,204.06
