order_id,customer_id,order_date,customer_type,order_total,num_items
1,1,2025-03-04,frequent,315.26,2
2,1,2025-03-16,frequent,269.42,3
3,1,2025-02-22,frequent,153.88,1
4,1,2025-02-13,frequent,48.3,1
5,1,2025-06-02,frequent,621.14,3
6,1,2025-01-24,frequent,167.32,2
7,2,2025-02-06,regular,309.38,2
8,2,2025-03-05,regular,155.34,1
9,3,2024-11-20,regular,782.96,2
10,3,2025-03-31,regular,296.78,1
11,3,2024-12-10,regular,260.73,3
12,3,2025-03-11,regular,441.36,1
13,4,2024-11-20,frequent,770.58,3
14,4,2024-04-26,frequent,482.1,2
15,4,2025-06-03,frequent,62.6,1
16,4,2025-02-08,frequent,869.62,3
17,4,2025-05-27,frequent,1004.36,2
18,4,2024-11-24,frequent,759.44,2
19,5,2025-04-26,regular,1483.42,2
20,5,2024-11-16,regular,1095.3,3
21,5,2025-01-06,regular,45.19,1
22,5,2024-05-11,regular,829.74,3
23,6,2024-06-11,occasional,1969.04,2
24,7,2024-08-11,regular,110.16,2
25,7,2024-01-15,regular,158.2,1
26,7,2024-02-27,regular,54.8,1
27,8,2024-04-23,regular,173.2,3
28,8,2025-02-19,regular,251.55,3
29,9,2025-02-04,occasional,738.12,3
30,9,2025-03-01,occasional,488.26,3
31,10,2024-12-29,occasional,311.32,3
32,10,2024-07-11,occasional,660.56,1
33,11,2025-05-17,regular,81.51,2
34,11,2025-04-03,regular,142.4,1
35,11,2025-04-14,regular,155.55,2
36,12,2025-04-11,regular,246.06,1
37,12,2025-05-03,regular,226.24,2
38,12,2024-10-27,regular,199.18,2
39,12,2024-09-07,regular,989.54,3
40,13,2025-04-27,occasional,574.4,3
41,14,2024-03-26,occasional,342.9,1
42,14,2023-08-11,occasional,120.36,2
43,15,2025-04-04,regular,417.58,1
44,15,2025-02-19,regular,19.06,1
45,16,2025-04-04,regular,152.65,1
46,16,2024-12-27,regular,484.64,3
47,17,2023-07-28,occasional,1369.68,3
48,17,2024-08-09,occasional,979.2,2
49,18,2025-03-18,regular,2203.99,3
50,18,2025-03-13,regular,896.54,1
51,19,2024-10-09,regular,1818.9,1
52,19,2025-03-28,regular,220.76,2
53,19,2024-10-03,regular,338.96,1
54,20,2025-03-13,regular,234.98,2
55,20,2025-05-07,regular,179.14,1
56,20,2025-04-20,regular,250.48,2
57,21,2024-07-24,regular,2098.02,3
58,21,2024-06-25,regular,16.17,1
59,22,2025-02-23,frequent,963.6,2
60,22,2024-01-02,frequent,885.06,3
61,22,2023-09-03,frequent,72.88,1
62,22,2024-09-03,frequent,141.56,1
63,23,2024-02-14,frequent,700.93,3
64,23,2025-05-04,frequent,53.18,1
65,23,2025-05-24,frequent,1223.19,3
66,24,2025-04-17,occasional,1096.07,3
67,25,2024-12-27,regular,261.92,2
68,25,2024-06-12,regular,26.88,1
69,25,2024-08-15,regular,246.59,2
70,25,2025-03-29,regular,362.25,3
71,26,2025-04-12,occasional,68.22,1
72,27,2025-04-21,regular,314.87,2
73,27,2025-06-05,regular,629.92,2
74,28,2025-02-20,regular,63.5,1
75,28,2025-01-19,regular,169.02,1
76,28,2024-02-26,regular,333.52,1
77,28,2024-03-08,regular,637.06,2
78,29,2025-05-09,occasional,217.34,2
79,29,2025-05-27,occasional,485.63,3
80,30,2024-11-11,occasional,540.42,1
81,30,2024-08-13,occasional,340.98,2
82,31,2024-07-13,regular,246.33,2
83,31,2024-07-15,regular,97.39,1
84,32,2025-04-14,occasional,518.58,2
85,32,2025-03-10,occasional,1102.77,3
86,33,2025-04-07,occasional,697.65,2
87,34,2025-06-03,regular,652.06,1
88,34,2025-02-09,regular,68.12,2
89,35,2025-04-20,occasional,984.62,2
90,36,2025-05-04,frequent,640.83,3
91,36,2025-05-26,frequent,431.64,3
92,36,2025-05-25,frequent,105.23,1
93,37,2025-04-29,occasional,143.61,2
94,37,2025-05-06,occasional,1475.94,3
95,38,2025-02-13,regular,352.59,2
96,38,2024-10-30,regular,48.58,1
97,38,2024-12-13,regular,1358.36,3
98,38,2024-10-07,regular,45.32,1
99,39,2025-01-17,regular,996.26,2
100,39,2024-11-27,regular,278.15,3
101,39,2024-10-29,regular,993.8,2
102,40,2025-01-19,regular,264.59,3
103,40,2025-04-23,regular,665.3,3
104,40,2024-11-13,regular,308.78,2
105,40,2024-10-23,regular,429.88,1
106,41,2025-04-23,regular,520.08,2
107,41,2025-02-23,regular,134.69,1
108,41,2025-04-08,regular,252.28,2
109,42,2024-05-16,regular,522.63,3
110,42,2024-08-08,regular,144.07,1
111,42,2024-11-30,regular,223.59,3
112,42,2024-07-31,regular,647.5,2
113,43,2025-04-28,regular,1326.64,3
114,43,2025-03-20,regular,36.75,1
115,44,2025-01-17,occasional,504.66,3
116,44,2024-12-01,occasional,71.47,2
117,45,2023-09-18,regular,42.32,1
118,45,2023-10-20,regular,215.3,2
119,45,2024-11-19,regular,30.69,1
120,46,2024-12-15,regular,964.95,2
121,46,2024-09-26,regular,392.38,1
122,46,2024-10-20,regular,834.57,2
123,47,2025-02-04,occasional,189.44,3
124,47,2024-11-19,occasional,225.48,3
125,48,2025-05-30,occasional,530.94,3
126,49,2024-10-08,frequent,92.37,1
127,49,2024-12-06,frequent,171.28,2
128,49,2025-01-08,frequent,91.24,1
129,49,2024-09-12,frequent,110.18,2
130,49,2024-08-21,frequent,38.97,1
131,49,2025-04-05,frequent,313.77,2
132,50,2024-08-22,occasional,542.28,1
133,50,2024-09-26,occasional,390.67,1
134,51,2024-11-29,regular,783.8,2
135,51,2024-05-21,regular,434.03,3
136,51,2024-12-27,regular,163.51,2
137,51,2024-09-29,regular,662.71,2
138,52,2025-02-16,frequent,102.72,1
139,52,2025-01-23,frequent,1240.23,2
140,52,2024-11-15,frequent,228.21,2
141,52,2025-04-13,frequent,1712.81,3
142,53,2025-02-13,regular,660.2,1
143,53,2024-04-08,regular,1368.01,3
144,53,2024-07-19,regular,250.22,1
145,54,2025-02-19,frequent,1344.63,2
146,54,2023-11-09,frequent,89.52,1
147,54,2024-05-19,frequent,64.64,1
148,54,2024-08-28,frequent,982.06,3
149,55,2024-12-03,occasional,182.48,1
150,56,2025-05-30,regular,746.2,3
151,56,2025-05-05,regular,556.82,1
152,57,2024-04-14,regular,1552.2,3
153,57,2024-02-01,regular,196.23,2
154,57,2024-11-24,regular,516.2,2
155,57,2023-12-18,regular,445.22,2
156,58,2024-05-04,occasional,22.07,1
157,59,2023-12-20,regular,828.66,3
158,59,2024-03-10,regular,683.11,2
159,60,2025-01-10,occasional,1132.56,3
160,60,2025-03-09,occasional,874.66,3
161,61,2025-05-25,regular,124.48,1
162,61,2025-06-06,regular,112.01,1
163,61,2025-05-05,regular,349.53,3
164,62,2024-02-22,regular,1314.04,1
165,62,2024-11-04,regular,49.76,1
166,63,2024-12-10,frequent,62.0,1
167,63,2025-04-22,frequent,240.6,2
168,63,2024-02-14,frequent,58.72,1
169,63,2024-05-08,frequent,2543.18,2
170,63,2024-01-22,frequent,435.6,3
171,64,2024-07-24,frequent,250.6,1
172,64,2024-05-24,frequent,422.32,1
173,64,2024-09-14,frequent,1396.67,3
174,65,2025-03-15,regular,757.22,1
175,65,2025-01-12,regular,139.76,1
176,65,2025-01-08,regular,1062.64,3
177,66,2025-05-26,frequent,781.29,2
178,66,2025-05-31,frequent,34.71,2
179,66,2025-05-22,frequent,16.64,1
180,66,2025-05-21,frequent,2015.84,3
181,66,2025-06-06,frequent,879.34,2
182,66,2025-05-28,frequent,1161.07,3
183,67,2023-12-31,occasional,594.97,3
184,68,2025-03-07,regular,209.1,2
185,68,2024-08-15,regular,86.67,1
186,69,2024-06-24,frequent,455.18,1
187,69,2025-04-11,frequent,2689.62,3
188,69,2024-08-23,frequent,139.69,3
189,69,2024-05-16,frequent,587.48,3
190,69,2024-09-09,frequent,481.4,1
191,70,2025-05-02,regular,1831.38,3
192,70,2025-02-11,regular,956.52,3
193,71,2025-02-27,regular,2019.03,3
194,71,2025-02-26,regular,959.16,2
195,71,2025-03-23,regular,563.14,1
196,71,2025-02-22,regular,546.16,2
197,72,2025-03-30,regular,145.32,1
198,72,2025-06-06,regular,304.1,1
199,72,2025-05-21,regular,189.56,2
200,73,2025-03-01,occasional,475.12,1
201,73,2025-04-08,occasional,19.41,1
202,74,2025-05-15,regular,245.66,2
203,74,2025-05-17,regular,229.79,1
204,74,2025-05-26,regular,232.04,1
205,75,2024-09-13,frequent,331.06,2
206,75,2025-01-16,frequent,113.52,1
207,75,2024-09-08,frequent,613.88,1
208,75,2025-02-07,frequent,663.09,2
209,75,2024-11-05,frequent,882.3,3
210,76,2025-03-28,regular,1383.66,2
211,76,2025-06-02,regular,1633.81,2
212,77,2024-04-05,regular,685.76,3
213,77,2024-05-23,regular,689.0,2
214,78,2024-10-15,frequent,515.5,3
215,78,2025-02-03,frequent,274.97,3
216,78,2024-11-13,frequent,249.46,2
217,78,2025-04-26,frequent,286.64,3
218,78,2025-02-28,frequent,1579.53,3
219,79,2024-09-29,occasional,770.82,3
220,79,2024-08-16,occasional,593.54,2
221,80,2024-08-02,regular,1939.79,3
222,80,2024-10-23,regular,345.91,3
223,80,2025-03-14,regular,688.02,3
224,81,2024-08-08,regular,823.15,2
225,81,2024-10-10,regular,744.73,3
226,82,2025-02-20,frequent,295.84,3
227,82,2024-04-02,frequent,321.84,2
228,82,2024-11-03,frequent,859.45,3
229,82,2024-08-14,frequent,1441.89,3
230,82,2024-04-13,frequent,111.21,3
231,82,2024-04-02,frequent,302.07,1
232,83,2024-06-12,regular,104.07,1
233,83,2025-03-28,regular,830.73,3
234,84,2025-05-08,regular,683.42,3
235,84,2024-02-08,regular,217.96,1
236,84,2024-12-29,regular,534.96,1
237,84,2024-10-17,regular,190.78,1
238,85,2024-12-26,regular,239.54,3
239,85,2025-05-10,regular,361.24,1
240,85,2025-04-13,regular,830.3,1
241,85,2024-10-25,regular,1605.5,3
242,86,2025-04-12,occasional,417.28,2
243,86,2025-04-20,occasional,440.55,3
244,87,2024-04-27,regular,70.74,1
245,87,2024-10-10,regular,189.44,1
246,88,2025-04-29,regular,101.64,1
247,88,2025-01-05,regular,854.85,2
