transaction_id,customer_id,transaction_date,product_category,product_name,quantity,unit_price,customer_type,total_amount
1,1,2024-10-21,Electronics,Ago Electronic,1,571.19,regular,571.19
2,1,2024-12-26,Clothing,Election Clothin,1,58.88,regular,58.88
3,1,2024-01-30,Home & Garden,Since Home & Garde,3,204.32,regular,612.96
4,1,2023-11-14,Electronics,Sit Electronic,3,820.26,regular,2460.78
5,1,2025-04-01,Clothing,Begin Clothin,3,41.35,regular,124.05
6,1,2024-09-20,Clothing,Almost Clothin,3,159.43,regular,478.29
7,1,2023-09-29,Sports,Discover Sport,1,133.75,regular,133.75
8,2,2023-12-21,Books,Play Book,1,32.27,regular,32.27
9,2,2023-07-30,Sports,Decide Sport,1,38.25,regular,38.25
10,2,2024-11-22,Sports,Science Sport,1,305.11,regular,305.11
11,2,2024-07-26,Beauty,Discussion Beaut,2,75.03,regular,150.06
12,3,2025-01-27,Beauty,Fall Beaut,2,64.73,regular,129.46
13,3,2025-04-24,Books,According Book,3,46.57,regular,139.71
14,3,2025-04-11,Electronics,Collection Electronic,3,215.4,regular,646.2
15,3,2025-03-28,Books,Grow Book,2,14.71,regular,29.42
16,3,2024-12-16,Beauty,Dinner Beaut,1,86.6,regular,86.6
17,3,2025-05-29,Beauty,Great Beaut,3,60.94,regular,182.82
18,3,2024-11-04,Home & Garden,Husband Home & Garde,3,257.16,regular,771.48
19,4,2024-12-15,Clothing,Throw Clothin,2,37.25,regular,74.5
20,4,2025-02-01,Electronics,Everything Electronic,2,886.49,regular,1772.98
21,4,2025-05-02,Electronics,Show Electronic,2,831.21,regular,1662.42
22,4,2025-02-24,Books,Capital Book,3,34.7,regular,104.1
23,5,2025-05-26,Clothing,Human Clothin,1,199.56,regular,199.56
24,5,2024-03-20,Beauty,Finally Beaut,3,89.16,regular,267.48
25,5,2025-03-18,Electronics,Present Electronic,1,636.97,regular,636.97
26,6,2025-04-11,Books,High Book,2,48.86,regular,97.72
27,6,2024-11-03,Clothing,Sea Clothin,2,93.37,regular,186.74
28,6,2024-02-15,Home & Garden,Recently Home & Garde,3,58.7,regular,176.1
29,6,2024-05-07,Home & Garden,Figure Home & Garde,1,120.79,regular,120.79
30,6,2025-06-01,Beauty,Top Beaut,1,38.74,regular,38.74
31,6,2024-05-09,Clothing,Blood Clothin,3,107.67,regular,323.01
32,6,2024-07-24,Home & Garden,Long Home & Garde,2,230.29,regular,460.58
33,7,2024-12-31,Beauty,His Beaut,1,70.21,regular,70.21
34,7,2024-06-06,Clothing,Hear Clothin,1,58.56,regular,58.56
35,7,2024-06-26,Home & Garden,Example Home & Garde,2,36.59,regular,73.18
36,8,2025-04-09,Home & Garden,Result Home & Garde,2,44.54,occasional,89.08
37,9,2024-12-27,Clothing,Politics Clothin,3,161.08,regular,483.24
38,9,2024-12-21,Beauty,None Beaut,1,71.13,regular,71.13
39,9,2025-02-03,Electronics,Common Electronic,2,390.99,regular,781.98
40,9,2024-10-01,Books,Expect Book,3,27.42,regular,82.26
41,10,2025-06-05,Sports,Push Sport,3,150.3,regular,450.9
42,10,2025-02-19,Beauty,Discuss Beaut,3,72.14,regular,216.42
43,10,2025-02-17,Books,Threat Book,2,24.24,regular,48.48
44,10,2025-03-19,Beauty,Arrive Beaut,2,73.7,regular,147.4
45,10,2024-09-10,Clothing,Almost Clothin,1,105.23,regular,105.23
46,10,2025-04-01,Books,Institution Book,1,31.26,regular,31.26
47,10,2024-09-24,Books,Development Book,1,18.62,regular,18.62
48,11,2025-05-23,Home & Garden,Our Home & Garde,1,249.63,regular,249.63
49,11,2025-05-16,Beauty,Forward Beaut,1,26.03,regular,26.03
50,11,2025-01-11,Beauty,Money Beaut,3,33.96,regular,101.88
51,11,2025-02-15,Electronics,Who Electronic,3,842.6,regular,2527.8
52,11,2025-04-02,Electronics,Character Electronic,2,715.78,regular,1431.56
53,12,2025-02-20,Home & Garden,Employee Home & Garde,3,99.73,occasional,299.19
54,12,2025-05-02,Electronics,Nothing Electronic,1,529.25,occasional,529.25
55,12,2025-02-20,Clothing,Pattern Clothin,1,93.66,occasional,93.66
56,13,2025-01-30,Books,Past Book,2,46.74,regular,93.48
57,13,2025-01-23,Beauty,Discuss Beaut,2,31.29,regular,62.58
58,13,2025-06-08,Electronics,Certainly Electronic,1,381.42,regular,381.42
59,13,2025-02-17,Beauty,Benefit Beaut,2,29.54,regular,59.08
60,13,2025-04-14,Books,Traditional Book,1,21.5,regular,21.5
